#           Time (s)         x hill (km)         y hill (km)         z hill (km)      vx hill (km/s)      vy hill (km/s)      vz hill (km/s)          x eci (km)          y eci (km)          z eci (km)         DV_x (km/s)         DV_y (km/s)         DV_z (km/s)           DV (km/s)               n_dis           anu (deg)
                   0    -0.000000000e+00    -1.500000000e+01    -0.000000000e+00    -0.000000000e+00     0.000000000e+00    -0.000000000e+00     3.893382682e+03    -1.499996289e+01     0.000000000e+00    -1.334788972e-03    -3.575007000e-04     1.064345937e-23     1.381835139e-03                  31     0.000000000e+00
     2.000000000e+02    -2.778211536e-01    -1.502474238e+01     2.118495129e-21    -1.436698032e-03     1.158676508e-04     1.048935407e-23     3.839277681e+03     6.453195551e+02     2.118343960e-21    -3.420028000e-10    -5.375331255e-11     1.507787794e-26     3.462012909e-10                  31     9.762398688e+00
     4.000000000e+02    -5.719026934e-01    -1.495180413e+01     4.179157772e-21    -1.496998916e-03     6.169413695e-04     1.004630564e-23     3.673958765e+03     1.286945112e+03     4.178543896e-21    -5.606989025e-11    -2.038375152e-11     1.368628901e-26     5.966012000e-11                  31     1.952479738e+01
     6.000000000e+02    -8.737276043e-01    -1.477708541e+01     6.120896645e-21    -1.513944604e-03     1.131208742e-03     9.310569027e-24     3.402190938e+03     1.891282033e+03     6.119523044e-21    -1.160428401e-11    -1.772971375e-11     1.187183891e-26     2.118967100e-11                  31     2.928719606e+01
     8.000000000e+02    -1.174554660e+00    -1.449943409e+01     7.887543774e-21    -1.487044567e-03     1.643775912e-03     8.303253210e-24     3.031825716e+03     2.440807625e+03     7.885164279e-21    -4.416934464e-12    -2.119359735e-11     7.836346385e-27     2.164896946e-11                  31     3.904959475e+01
     1.000000000e+03    -1.465671543e+00    -1.412067910e+01     9.427519260e-21    -1.417077902e-03     2.139798302e-03     7.051307692e-24     2.573576388e+03     2.919580021e+03     9.423970278e-21    -5.828643134e-12    -2.628947969e-11     5.081087315e-27     2.692786333e-11                  31     4.881199344e+01
     1.200000000e+03    -1.738647152e+00    -1.364557745e+01     1.069511609e-20    -1.306070941e-03     2.604910498e-03     5.592331533e-24     2.040709831e+03     3.313702095e+03     1.069034007e-20    -9.986470205e-12    -3.018362994e-11     3.405506725e-27     3.179278382e-11                  31     5.857439213e+01
     1.400000000e+03    -1.985575785e+00    -1.308167647e+01     1.165389997e-20    -1.157238583e-03     3.025642288e-03     3.969773928e-24     1.448663547e+03     3.611726768e+03     1.164795667e-20    -1.410391712e-11    -3.096255370e-11     1.273709923e-27     3.402352436e-11                  31     6.833679082e+01
     1.600000000e+03    -2.199306089e+00    -1.243909522e+01     1.227547784e-20    -9.748911965e-04     3.389808772e-03     2.230065704e-24     8.145988562e+02     3.804991674e+03     1.226854368e-20    -1.577157131e-11    -2.868907761e-11    -2.056215357e-27     3.273844278e-11                  31     7.809918950e+01
     1.800000000e+03    -2.373648175e+00    -1.173023143e+01     1.254075672e-20    -7.643097810e-04     3.686863251e-03     4.224874783e-25     1.569031161e+02     3.887873142e+03     1.253311115e-20    -1.500192490e-11    -2.554386289e-11    -2.360127853e-27     2.962341442e-11                  31     8.786158819e+01
