 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0049936	   0.0000269	  -0.0003562	  -0.0000854	   0.0003673	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0035141	   0.0027897	  -0.0725576
   0.0063373	  -0.0002799	  -0.0004610	  -0.0001373	   0.0005565	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0029270	   0.0024328	  -0.0728930
   0.0061847	  -0.0000586	  -0.0000192	  -0.0001233	   0.0001379	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0033107	   0.0029028	  -0.0774096
   0.0045334	  -0.0001994	  -0.0003354	  -0.0000202	   0.0003907	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0013663	   0.0009714	  -0.0360752
   0.0039883	   0.0000232	  -0.0005365	   0.0000964	   0.0005455	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0021930	   0.0014957	  -0.0470621
   0.0046158	  -0.0000947	  -0.0006014	  -0.0000313	   0.0006096	   0.0000000	   0.0000000	  -0.0000000	   0.0000000	   0.0023345	   0.0018069	  -0.0539322
   0.0040991	   0.0007649	  -0.0003955	   0.0001441	   0.0008731	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0029078	   0.0018407	  -0.0644718
   0.0050944	   0.0002266	  -0.0004108	  -0.0000079	   0.0004692	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0030358	   0.0024718	  -0.0663045
   0.0045565	   0.0000303	  -0.0005338	  -0.0001693	   0.0005609	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0025104	   0.0020262	  -0.0548501
   0.0045622	   0.0004192	  -0.0002708	  -0.0000171	   0.0004993	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0020365	   0.0017516	  -0.0477443
   0.0061200	   0.0000809	   0.0000349	  -0.0000969	   0.0001310	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0027041	   0.0023417	  -0.0677397
   0.0047954	  -0.0003532	  -0.0000215	  -0.0000698	   0.0003607	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0030343	   0.0025595	  -0.0638611
   0.0050734	   0.0002108	  -0.0004377	  -0.0000523	   0.0004886	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0026086	   0.0020067	  -0.0605571
   0.0071965	   0.0001758	  -0.0005384	   0.0000009	   0.0005664	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0013395	   0.0013139	  -0.0561819
   0.0048817	  -0.0000945	  -0.0004500	  -0.0001148	   0.0004739	   0.0000000	   0.0000000	  -0.0000000	   0.0000000	   0.0029940	   0.0023886	  -0.0643483
   0.0047550	  -0.0001485	  -0.0004028	  -0.0001608	   0.0004584	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0027284	   0.0022630	  -0.0589071
   0.0052537	  -0.0001600	   0.0000343	  -0.0000597	   0.0001742	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0042938	   0.0035408	  -0.0847217
   0.0066062	  -0.0001671	  -0.0003607	  -0.0000469	   0.0004003	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0036482	   0.0035117	  -0.0790433
   0.0055287	   0.0003155	  -0.0000771	   0.0000091	   0.0003249	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0034446	   0.0026110	  -0.0751367
   0.0066035	  -0.0002499	  -0.0000068	  -0.0000050	   0.0002501	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0038625	   0.0037826	  -0.0792660
   0.0046229	  -0.0002455	  -0.0001580	  -0.0001413	   0.0003244	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0029116	   0.0022597	  -0.0618490
   0.0068942	  -0.0001624	   0.0000118	  -0.0001341	   0.0002110	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0058461	   0.0053850	  -0.1125572
   0.0039882	   0.0004120	  -0.0006484	   0.0000542	   0.0007701	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0020977	   0.0016063	  -0.0458240
   0.0044655	  -0.0003107	  -0.0004991	   0.0000382	   0.0005892	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0021100	   0.0014589	  -0.0496952
   0.0041629	   0.0001492	  -0.0003258	   0.0000006	   0.0003583	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0019285	   0.0013021	  -0.0435776
   0.0066244	   0.0001759	  -0.0007967	   0.0000033	   0.0008159	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0042348	   0.0041333	  -0.0849885
   0.0046520	   0.0000108	  -0.0007479	  -0.0000780	   0.0007520	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0022262	   0.0019019	  -0.0511027
