         # x	           y	           z	          vx	          vy	          vz
   0.0000000	 -15.0000000	   0.0000000	  -0.0013368	  -0.0003431	   0.0000057
  -0.0298481	 -15.0070605	   0.0001263	  -0.0013495	  -0.0002923	   0.0000057
  -0.0599743	 -15.0129855	   0.0002526	  -0.0013618	  -0.0002409	   0.0000057
  -0.0903676	 -15.0177648	   0.0003788	  -0.0013735	  -0.0001891	   0.0000057
  -0.1210172	 -15.0213883	   0.0005049	  -0.0013848	  -0.0001369	   0.0000057
  -0.1519122	 -15.0238467	   0.0006308	  -0.0013956	  -0.0000843	   0.0000057
  -0.1830414	 -15.0251308	   0.0007564	  -0.0014059	  -0.0000312	   0.0000056
  -0.2143936	 -15.0252320	   0.0008818	  -0.0014157	   0.0000222	   0.0000056
  -0.2459578	 -15.0241421	   0.0010069	  -0.0014250	   0.0000760	   0.0000056
  -0.2777224	 -15.0218531	   0.0011316	  -0.0014338	   0.0001301	   0.0000056
  -0.2777224	 -15.0218531	   0.0011316	  -0.0014746	   0.0001236	   0.0000009
  -0.3105877	 -15.0184838	   0.0011514	  -0.0014831	   0.0001796	   0.0000009
  -0.3436358	 -15.0138666	   0.0011707	  -0.0014911	   0.0002360	   0.0000009
  -0.3768549	 -15.0079948	   0.0011896	  -0.0014985	   0.0002926	   0.0000008
  -0.4102330	 -15.0008622	   0.0012081	  -0.0015054	   0.0003494	   0.0000008
  -0.4437581	 -14.9924629	   0.0012262	  -0.0015118	   0.0004065	   0.0000008
  -0.4774184	 -14.9827916	   0.0012438	  -0.0015176	   0.0004639	   0.0000008
  -0.5112016	 -14.9718435	   0.0012609	  -0.0015228	   0.0005215	   0.0000008
  -0.5450958	 -14.9596141	   0.0012777	  -0.0015275	   0.0005792	   0.0000007
  -0.5790887	 -14.9460994	   0.0012939	  -0.0015317	   0.0006371	   0.0000007
  -0.5790887	 -14.9460994	   0.0012939	  -0.0015404	   0.0006433	  -0.0000022
  -0.6133579	 -14.9311546	   0.0012453	  -0.0015438	   0.0007017	  -0.0000022
  -0.6476962	 -14.9149109	   0.0011961	  -0.0015466	   0.0007602	  -0.0000022
  -0.6820913	 -14.8973659	   0.0011466	  -0.0015489	   0.0008188	  -0.0000022
  -0.7165308	 -14.8785177	   0.0010966	  -0.0015506	   0.0008775	  -0.0000023
  -0.7510024	 -14.8583649	   0.0010463	  -0.0015518	   0.0009362	  -0.0000023
  -0.7854938	 -14.8369064	   0.0009956	  -0.0015524	   0.0009950	  -0.0000023
  -0.8199925	 -14.8141418	   0.0009445	  -0.0015524	   0.0010538	  -0.0000023
  -0.8544862	 -14.7900710	   0.0008931	  -0.0015519	   0.0011126	  -0.0000023
  -0.8889625	 -14.7646944	   0.0008413	  -0.0015509	   0.0011713	  -0.0000023
  -0.8889625	 -14.7646944	   0.0008413	  -0.0015526	   0.0011722	  -0.0000040
  -0.9234465	 -14.7379923	   0.0007517	  -0.0015509	   0.0012310	  -0.0000040
  -0.9578876	 -14.7099853	   0.0006619	  -0.0015487	   0.0012897	  -0.0000040
  -0.9922736	 -14.6806752	   0.0005718	  -0.0015459	   0.0013482	  -0.0000041
  -1.0265921	 -14.6500644	   0.0004815	  -0.0015426	   0.0014067	  -0.0000041
  -1.0608308	 -14.6181556	   0.0003910	  -0.0015388	   0.0014651	  -0.0000041
  -1.0949774	 -14.5849521	   0.0003004	  -0.0015343	   0.0015232	  -0.0000041
  -1.1290197	 -14.5504577	   0.0002096	  -0.0015294	   0.0015812	  -0.0000041
  -1.1629455	 -14.5146765	   0.0001188	  -0.0015239	   0.0016390	  -0.0000041
  -1.1967427	 -14.4776131	   0.0000280	  -0.0015178	   0.0016966	  -0.0000041
  -1.1967427	 -14.4776131	   0.0000280	  -0.0015168	   0.0016951	  -0.0000050
  -1.2303765	 -14.4393077	  -0.0000831	  -0.0015102	   0.0017524	  -0.0000050
  -1.2638588	 -14.3997316	  -0.0001942	  -0.0015031	   0.0018094	  -0.0000050
  -1.2971775	 -14.3588908	  -0.0003052	  -0.0014955	   0.0018662	  -0.0000050
  -1.3303208	 -14.3167917	  -0.0004161	  -0.0014873	   0.0019227	  -0.0000050
  -1.3632768	 -14.2734412	  -0.0005268	  -0.0014786	   0.0019788	  -0.0000050
  -1.3960336	 -14.2288467	  -0.0006374	  -0.0014694	   0.0020346	  -0.0000050
  -1.4285796	 -14.1830158	  -0.0007477	  -0.0014596	   0.0020901	  -0.0000050
  -1.4609029	 -14.1359567	  -0.0008578	  -0.0014494	   0.0021452	  -0.0000049
  -1.4929921	 -14.0876782	  -0.0009675	  -0.0014386	   0.0021998	  -0.0000049
  -1.4929921	 -14.0876782	  -0.0009675	  -0.0014361	   0.0021973	  -0.0000053
  -1.5247819	 -14.0382476	  -0.0010855	  -0.0014249	   0.0022514	  -0.0000053
  -1.5563167	 -13.9876181	  -0.0012032	  -0.0014132	   0.0023052	  -0.0000053
  -1.5875854	 -13.9357996	  -0.0013204	  -0.0014009	   0.0023584	  -0.0000053
  -1.6185767	 -13.8828024	  -0.0014371	  -0.0013882	   0.0024112	  -0.0000052
  -1.6492795	 -13.8286372	  -0.0015533	  -0.0013750	   0.0024636	  -0.0000052
  -1.6796828	 -13.7733151	  -0.0016690	  -0.0013612	   0.0025154	  -0.0000052
  -1.7097758	 -13.7168476	  -0.0017841	  -0.0013470	   0.0025666	  -0.0000052
  -1.7395476	 -13.6592468	  -0.0018985	  -0.0013323	   0.0026174	  -0.0000051
  -1.7689875	 -13.6005249	  -0.0020122	  -0.0013172	   0.0026675	  -0.0000051
  -1.7689875	 -13.6005249	  -0.0020122	  -0.0013136	   0.0026647	  -0.0000051
  -1.7980064	 -13.5407596	  -0.0021258	  -0.0012980	   0.0027141	  -0.0000051
  -1.8266748	 -13.4799021	  -0.0022387	  -0.0012820	   0.0027630	  -0.0000051
  -1.8549827	 -13.4179660	  -0.0023507	  -0.0012656	   0.0028112	  -0.0000050
  -1.8829196	 -13.3549650	  -0.0024619	  -0.0012487	   0.0028588	  -0.0000050
  -1.9104758	 -13.2909133	  -0.0025722	  -0.0012313	   0.0029057	  -0.0000049
  -1.9376413	 -13.2258257	  -0.0026816	  -0.0012135	   0.0029520	  -0.0000049
  -1.9644063	 -13.1597170	  -0.0027900	  -0.0011953	   0.0029976	  -0.0000049
  -1.9907613	 -13.0926027	  -0.0028974	  -0.0011766	   0.0030425	  -0.0000048
  -2.0166968	 -13.0244983	  -0.0030038	  -0.0011575	   0.0030867	  -0.0000048
  -2.0166968	 -13.0244983	  -0.0030038	  -0.0011526	   0.0030841	  -0.0000046
  -2.0420943	 -12.9554814	  -0.0031045	  -0.0011332	   0.0031273	  -0.0000045
  -2.0670562	 -12.8855110	  -0.0032041	  -0.0011133	   0.0031699	  -0.0000045
  -2.0915736	 -12.8146039	  -0.0033026	  -0.0010931	   0.0032116	  -0.0000044
  -2.1156375	 -12.7427771	  -0.0033999	  -0.0010725	   0.0032526	  -0.0000044
  -2.1392395	 -12.6700478	  -0.0034959	  -0.0010516	   0.0032929	  -0.0000043
  -2.1623710	 -12.5964337	  -0.0035908	  -0.0010302	   0.0033323	  -0.0000042
  -2.1850238	 -12.5219528	  -0.0036843	  -0.0010085	   0.0033709	  -0.0000042
