         # t	           x	           y	           z	         Dvx	         Dvy	         Dvz	      Dvnorm	       Dvmax
   0.0000000	   0.0000000	 -15.0000000	   0.0000000	  -0.0013368	  -0.0003431	   0.0000057	   0.0013801	   0.0050000
 200.0000000	  -0.2777224	 -15.0218531	   0.0011316	  -0.0000409	  -0.0000064	  -0.0000047	   0.0000417	   0.0050000
 400.0000000	  -0.5790887	 -14.9460994	   0.0012939	  -0.0000087	   0.0000062	  -0.0000029	   0.0000110	   0.0050000
 600.0000000	  -0.8889625	 -14.7646944	   0.0008413	  -0.0000017	   0.0000009	  -0.0000017	   0.0000026	   0.0050000
 800.0000000	  -1.1967427	 -14.4776131	   0.0000280	   0.0000010	  -0.0000016	  -0.0000009	   0.0000021	   0.0050000
1000.0000000	  -1.4929921	 -14.0876782	  -0.0009675	   0.0000025	  -0.0000026	  -0.0000004	   0.0000036	   0.0050000
1200.0000000	  -1.7689875	 -13.6005249	  -0.0020122	   0.0000036	  -0.0000028	  -0.0000000	   0.0000046	   0.0050000
1400.0000000	  -2.0166968	 -13.0244983	  -0.0030038	   0.0000050	  -0.0000027	   0.0000002	   0.0000056	   0.0050000
1600.0000000	  -2.2288609	 -12.3704640	  -0.0038673	   0.0000063	  -0.0000026	   0.0000003	   0.0000068	   0.0050000
1800.0000000	  -2.3992446	 -11.6516132	  -0.0045580	   0.0000065	  -0.0000033	   0.0000003	   0.0000073	   0.0050000
2000.0000000	  -2.5230796	 -10.8831691	  -0.0050613	   0.0000046	  -0.0000047	   0.0000002	   0.0000066	   0.0050000
2200.0000000	  -2.5974324	 -10.0818286	  -0.0053854	   0.0000023	  -0.0000058	   0.0000001	   0.0000063	   0.0050000
2400.0000000	  -2.6209596	  -9.2649504	  -0.0055414	   0.0000036	  -0.0000059	   0.0000000	   0.0000069	   0.0050000
2600.0000000	  -2.5931204	  -8.4500045	  -0.0055306	   0.0000048	  -0.0000074	  -0.0000000	   0.0000088	   0.0050000
2800.0000000	  -2.5149394	  -7.6546654	  -0.0053664	  -0.0000052	  -0.0000101	  -0.0000002	   0.0000114	   0.0050000
3000.0000000	  -2.3912708	  -6.8958443	  -0.0050953	  -0.0000023	  -0.0000093	  -0.0000001	   0.0000096	   0.0050000
3200.0000000	  -2.2257630	  -6.1882950	  -0.0046903	   0.0000105	  -0.0000092	   0.0000014	   0.0000141	   0.0050000
3400.0000000	  -2.0212951	  -5.5457980	  -0.0038789	  -0.0001217	  -0.0000023	   0.0000013	   0.0001217	   0.0050000
3600.0000000	  -1.8104973	  -4.9746977	  -0.0026937	  -0.0002536	   0.0000271	  -0.0000007	   0.0002551	   0.0050000
3800.0000000	  -1.6248931	  -4.4658249	  -0.0015748	  -0.0002036	   0.0000528	  -0.0000008	   0.0002103	   0.0050000
4000.0000000	  -1.4571735	  -4.0066349	  -0.0005720	  -0.0001863	   0.0000742	  -0.0000008	   0.0002005	   0.0050000
4200.0000000	  -1.3044439	  -3.5871973	   0.0002903	  -0.0001764	   0.0000901	  -0.0000006	   0.0001981	   0.0050000
4400.0000000	  -1.1635687	  -3.1997097	   0.0010329	  -0.0001760	   0.0001027	  -0.0000004	   0.0002038	   0.0050000
4600.0000000	  -1.0319962	  -2.8380078	   0.0016645	  -0.0001842	   0.0001136	  -0.0000006	   0.0002164	   0.0050000
4800.0000000	  -0.9078157	  -2.4970506	   0.0021275	  -0.0002031	   0.0001237	  -0.0000013	   0.0002378	   0.0050000
5000.0000000	  -0.7903142	  -2.1723995	   0.0022755	  -0.0002289	   0.0001274	  -0.0000019	   0.0002619	   0.0050000
5200.0000000	  -0.6794946	  -1.8610251	   0.0019802	  -0.0002044	   0.0000985	  -0.0000010	   0.0002269	   0.0050000
5400.0000000	  -0.5660147	  -1.5680693	   0.0014201	  -0.0000419	   0.0000177	   0.0000011	   0.0000455	   0.0050000
5600.0000000	  -0.4168647	  -1.3163995	   0.0010366	   0.0000095	  -0.0000001	  -0.0000009	   0.0000095	   0.0050000
5800.0000000	  -0.2255464	  -1.1229002	   0.0004529	  -0.0000026	   0.0000012	   0.0000003	   0.0000029	   0.0050000
6000.0000000	   0.0000269	  -1.0003562	  -0.0000854	  -0.0012044	  -0.0004160	   0.0000027	   0.0012742	   0.0050000
