 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0054306	  -0.0000847	  -0.0001239	  -0.0000401	   0.0001553	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0362042
   0.0067418	  -0.0002245	  -0.0001890	  -0.0002211	   0.0003674	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0449450
   0.0065879	   0.0000697	   0.0003059	   0.0002419	   0.0003962	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0439193
   0.0048085	  -0.0002394	   0.0000687	   0.0002204	   0.0003326	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0320565
   0.0042635	  -0.0006006	   0.0001303	   0.0002842	   0.0006771	   0.0000000	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0286005
   0.0049987	  -0.0003113	  -0.0003783	   0.0001267	   0.0005060	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0333309
   0.0044433	  -0.0000341	   0.0002856	  -0.0001157	   0.0003100	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0296219
   0.0055141	  -0.0002773	   0.0002026	   0.0002303	   0.0004135	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0367606
   0.0050172	   0.0001856	  -0.0002751	   0.0000829	   0.0003420	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0334477
   0.0048974	   0.0003164	  -0.0000842	   0.0001252	   0.0003505	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0326493
   0.0065235	   0.0000329	   0.0003404	  -0.0002350	   0.0004149	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0434898
   0.0052911	  -0.0003260	   0.0002206	   0.0001190	   0.0004112	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0352741
   0.0053686	  -0.0000328	   0.0000631	  -0.0000318	   0.0000779	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0357910
   0.0079363	   0.0002915	  -0.0001893	   0.0000532	   0.0003516	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0529089
   0.0052829	  -0.0002419	  -0.0001189	  -0.0001046	   0.0002891	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0352193
   0.0049990	  -0.0000457	  -0.0002123	  -0.0001178	   0.0002470	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0333270
   0.0056808	  -0.0003231	   0.0003169	  -0.0001355	   0.0004724	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0378719
   0.0072182	  -0.0002017	   0.0000943	  -0.0003395	   0.0004060	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0481211
   0.0060263	  -0.0002504	   0.0007951	   0.0001463	   0.0008463	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0405219
   0.0072761	  -0.0003270	   0.0002450	  -0.0005942	   0.0007211	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0487284
   0.0050940	  -0.0001899	   0.0000944	   0.0000861	   0.0002288	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0339603
   0.0073185	  -0.0001093	   0.0003580	  -0.0002282	   0.0004384	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0487901
   0.0042912	   0.0000079	   0.0000775	   0.0002633	   0.0002746	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0286082
   0.0047572	  -0.0004862	   0.0001428	   0.0003348	   0.0006074	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0318220
   0.0044206	  -0.0001194	   0.0002932	   0.0004143	   0.0005214	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0294917
