         # x	           y	           z	          vx	          vy	          vz
   0.0000000	 -15.0000000	   0.0000000	  -0.0008836	  -0.0002639	  -0.0001241
  -0.0197455	 -15.0054918	  -0.0027579	  -0.0008934	  -0.0002303	  -0.0001241
  -0.0397060	 -15.0102319	  -0.0055148	  -0.0009030	  -0.0001963	  -0.0001240
  -0.0598743	 -15.0142123	  -0.0082698	  -0.0009121	  -0.0001619	  -0.0001239
  -0.0802432	 -15.0174252	  -0.0110218	  -0.0009210	  -0.0001272	  -0.0001238
  -0.1008054	 -15.0198632	  -0.0137698	  -0.0009295	  -0.0000922	  -0.0001236
  -0.1215535	 -15.0215190	  -0.0165129	  -0.0009377	  -0.0000568	  -0.0001233
  -0.1424802	 -15.0223859	  -0.0192501	  -0.0009456	  -0.0000212	  -0.0001230
  -0.1635778	 -15.0224572	  -0.0219804	  -0.0009531	   0.0000148	  -0.0001227
  -0.1848389	 -15.0217265	  -0.0247028	  -0.0009603	   0.0000510	  -0.0001223
  -0.1848389	 -15.0217265	  -0.0247028	  -0.0013075	   0.0000068	  -0.0001942
  -0.2139887	 -15.0210235	  -0.0290145	  -0.0013159	   0.0000565	  -0.0001938
  -0.2433211	 -15.0192133	  -0.0333158	  -0.0013239	   0.0001065	  -0.0001933
  -0.2728255	 -15.0162891	  -0.0376052	  -0.0013314	   0.0001567	  -0.0001927
  -0.3024913	 -15.0122448	  -0.0418812	  -0.0013384	   0.0002073	  -0.0001921
  -0.3323080	 -15.0070743	  -0.0461421	  -0.0013450	   0.0002581	  -0.0001914
  -0.3622649	 -15.0007721	  -0.0503864	  -0.0013510	   0.0003091	  -0.0001906
  -0.3923511	 -14.9933332	  -0.0546127	  -0.0013566	   0.0003604	  -0.0001898
  -0.4225560	 -14.9847529	  -0.0588195	  -0.0013617	   0.0004119	  -0.0001888
  -0.4528686	 -14.9750268	  -0.0630051	  -0.0013663	   0.0004635	  -0.0001879
  -0.4528686	 -14.9750268	  -0.0630051	  -0.0014906	   0.0004684	  -0.0002121
  -0.4860366	 -14.9639893	  -0.0677070	  -0.0014945	   0.0005250	  -0.0002110
  -0.5192854	 -14.9516944	  -0.0723845	  -0.0014978	   0.0005816	  -0.0002099
  -0.5526032	 -14.9381393	  -0.0770361	  -0.0015007	   0.0006384	  -0.0002087
  -0.5859781	 -14.9233215	  -0.0816601	  -0.0015030	   0.0006952	  -0.0002074
  -0.6193980	 -14.9072392	  -0.0862548	  -0.0015047	   0.0007522	  -0.0002061
  -0.6528511	 -14.8898907	  -0.0908186	  -0.0015060	   0.0008092	  -0.0002047
  -0.6863252	 -14.8712752	  -0.0953499	  -0.0015066	   0.0008662	  -0.0002032
  -0.7198085	 -14.8513920	  -0.0998470	  -0.0015068	   0.0009233	  -0.0002016
  -0.7532889	 -14.8302411	  -0.1043083	  -0.0015064	   0.0009803	  -0.0001999
  -0.7532889	 -14.8302411	  -0.1043083	  -0.0015532	   0.0009801	  -0.0002064
  -0.7877961	 -14.8078084	  -0.1088762	  -0.0015523	   0.0010389	  -0.0002047
  -0.8222762	 -14.7840695	  -0.1134050	  -0.0015508	   0.0010976	  -0.0002029
  -0.8567170	 -14.7590259	  -0.1178932	  -0.0015488	   0.0011563	  -0.0002010
  -0.8911059	 -14.7326791	  -0.1223391	  -0.0015462	   0.0012149	  -0.0001991
  -0.9254309	 -14.7050314	  -0.1267412	  -0.0015430	   0.0012734	  -0.0001971
  -0.9596794	 -14.6760855	  -0.1310978	  -0.0015393	   0.0013317	  -0.0001950
  -0.9938393	 -14.6458445	  -0.1354075	  -0.0015350	   0.0013899	  -0.0001929
  -1.0278983	 -14.6143118	  -0.1396686	  -0.0015302	   0.0014480	  -0.0001906
  -1.0618442	 -14.5814917	  -0.1438797	  -0.0015248	   0.0015058	  -0.0001883
  -1.0618442	 -14.5814917	  -0.1438797	  -0.0015456	   0.0015081	  -0.0001909
  -1.0961256	 -14.5473286	  -0.1480952	  -0.0015396	   0.0015665	  -0.0001885
  -1.1302674	 -14.5118700	  -0.1522576	  -0.0015331	   0.0016247	  -0.0001861
  -1.1642576	 -14.4751216	  -0.1563655	  -0.0015260	   0.0016826	  -0.0001836
  -1.1980838	 -14.4370892	  -0.1604173	  -0.0015183	   0.0017403	  -0.0001810
  -1.2317340	 -14.3977793	  -0.1644116	  -0.0015101	   0.0017976	  -0.0001784
  -1.2651961	 -14.3571989	  -0.1683470	  -0.0015014	   0.0018546	  -0.0001757
  -1.2984581	 -14.3153552	  -0.1722220	  -0.0014921	   0.0019113	  -0.0001730
  -1.3315080	 -14.2722561	  -0.1760353	  -0.0014823	   0.0019676	  -0.0001702
  -1.3643342	 -14.2279097	  -0.1797856	  -0.0014720	   0.0020235	  -0.0001673
  -1.3643342	 -14.2279097	  -0.1797856	  -0.0014842	   0.0020264	  -0.0001697
  -1.3971948	 -14.1822564	  -0.1835243	  -0.0014732	   0.0020824	  -0.0001668
  -1.4298057	 -14.1353635	  -0.1871972	  -0.0014617	   0.0021379	  -0.0001638
  -1.4621551	 -14.0872407	  -0.1908031	  -0.0014497	   0.0021930	  -0.0001607
  -1.4942314	 -14.0378982	  -0.1943405	  -0.0014371	   0.0022477	  -0.0001576
  -1.5260231	 -13.9873466	  -0.1978083	  -0.0014241	   0.0023019	  -0.0001545
  -1.5575188	 -13.9355967	  -0.2012053	  -0.0014105	   0.0023555	  -0.0001512
  -1.5887073	 -13.8826602	  -0.2045301	  -0.0013964	   0.0024087	  -0.0001480
  -1.6195774	 -13.8285487	  -0.2077816	  -0.0013818	   0.0024613	  -0.0001447
  -1.6501179	 -13.7732745	  -0.2109586	  -0.0013667	   0.0025133	  -0.0001413
  -1.6501179	 -13.7732745	  -0.2109586	  -0.0013760	   0.0025156	  -0.0001447
  -1.6805230	 -13.7167958	  -0.2141363	  -0.0013604	   0.0025674	  -0.0001413
  -1.7105748	 -13.6591725	  -0.2172372	  -0.0013442	   0.0026186	  -0.0001378
  -1.7402626	 -13.6004182	  -0.2202603	  -0.0013276	   0.0026692	  -0.0001343
  -1.7695757	 -13.5405468	  -0.2232044	  -0.0013105	   0.0027191	  -0.0001307
  -1.7985037	 -13.4795728	  -0.2260685	  -0.0012929	   0.0027684	  -0.0001271
  -1.8270360	 -13.4175110	  -0.2288517	  -0.0012749	   0.0028170	  -0.0001234
  -1.8551626	 -13.3543764	  -0.2315528	  -0.0012564	   0.0028650	  -0.0001197
  -1.8828734	 -13.2901848	  -0.2341709	  -0.0012375	   0.0029122	  -0.0001159
  -1.9101583	 -13.2249519	  -0.2367050	  -0.0012181	   0.0029587	  -0.0001121
  -1.9101583	 -13.2249519	  -0.2367050	  -0.0012253	   0.0029600	  -0.0001169
  -1.9371671	 -13.1586612	  -0.2392613	  -0.0012054	   0.0030060	  -0.0001131
  -1.9637295	 -13.0913563	  -0.2417318	  -0.0011851	   0.0030513	  -0.0001092
  -1.9898360	 -13.0230543	  -0.2441157	  -0.0011644	   0.0030958	  -0.0001053
  -2.0154773	 -12.9537725	  -0.2464121	  -0.0011432	   0.0031395	  -0.0001014
  -2.0406441	 -12.8835288	  -0.2486201	  -0.0011217	   0.0031823	  -0.0000974
  -2.0653274	 -12.8123414	  -0.2507391	  -0.0010997	   0.0032244	  -0.0000933
  -2.0895184	 -12.7402286	  -0.2527682	  -0.0010774	   0.0032656	  -0.0000893
  -2.1132084	 -12.6672093	  -0.2547067	  -0.0010547	   0.0033060	  -0.0000852
  -2.1363890	 -12.5933027	  -0.2565539	  -0.0010315	   0.0033455	  -0.0000811
  -2.1363890	 -12.5933027	  -0.2565539	  -0.0010366	   0.0033454	  -0.0000871
  -2.1591647	 -12.5185268	  -0.2584445	  -0.0010131	   0.0033842	  -0.0000830
