         # t	           x	           y	           z	         Dvx	         Dvy	         Dvz	      Dvnorm	       Dvmax
   0.0000000	   0.0000000	 -15.0000000	   0.0000000	  -0.0008836	  -0.0002639	  -0.0001241	   0.0009305	   0.0050000
 200.0000000	  -0.1848389	 -15.0217265	  -0.0247028	  -0.0003472	  -0.0000442	  -0.0000719	   0.0003573	   0.0050000
 400.0000000	  -0.4528686	 -14.9750268	  -0.0630051	  -0.0001242	   0.0000049	  -0.0000242	   0.0001267	   0.0050000
 600.0000000	  -0.7532889	 -14.8302411	  -0.1043083	  -0.0000469	  -0.0000002	  -0.0000065	   0.0000473	   0.0050000
 800.0000000	  -1.0618442	 -14.5814917	  -0.1438797	  -0.0000208	   0.0000023	  -0.0000025	   0.0000211	   0.0050000
1000.0000000	  -1.3643342	 -14.2279097	  -0.1797856	  -0.0000122	   0.0000029	  -0.0000024	   0.0000128	   0.0050000
1200.0000000	  -1.6501179	 -13.7732745	  -0.2109586	  -0.0000093	   0.0000023	  -0.0000034	   0.0000101	   0.0050000
1400.0000000	  -1.9101583	 -13.2249519	  -0.2367050	  -0.0000072	   0.0000013	  -0.0000048	   0.0000088	   0.0050000
1600.0000000	  -2.1363890	 -12.5933027	  -0.2565539	  -0.0000051	  -0.0000000	  -0.0000061	   0.0000079	   0.0050000
1800.0000000	  -2.3217925	 -11.8913537	  -0.2701843	  -0.0000044	  -0.0000024	  -0.0000070	   0.0000086	   0.0050000
2000.0000000	  -2.4609438	 -11.1344456	  -0.2773827	  -0.0000063	  -0.0000059	  -0.0000076	   0.0000115	   0.0050000
2200.0000000	  -2.5504788	 -10.3396779	  -0.2780543	  -0.0000088	  -0.0000106	  -0.0000080	   0.0000159	   0.0050000
2400.0000000	  -2.5888522	  -9.5251990	  -0.2722745	  -0.0000079	  -0.0000159	  -0.0000086	   0.0000197	   0.0050000
2600.0000000	  -2.5756785	  -8.7096245	  -0.2603277	  -0.0000042	  -0.0000217	  -0.0000096	   0.0000241	   0.0050000
2800.0000000	  -2.5118902	  -7.9115785	  -0.2427431	  -0.0000040	  -0.0000263	  -0.0000111	   0.0000288	   0.0050000
3000.0000000	  -2.4009088	  -7.1486962	  -0.2203438	  -0.0000141	  -0.0000262	  -0.0000135	   0.0000327	   0.0050000
3200.0000000	  -2.2497482	  -6.4358856	  -0.1942588	  -0.0000391	  -0.0000188	  -0.0000165	   0.0000465	   0.0050000
3400.0000000	  -2.0693065	  -5.7835022	  -0.1658403	  -0.0000799	  -0.0000023	  -0.0000195	   0.0000823	   0.0050000
3600.0000000	  -1.8736362	  -5.1958325	  -0.1364922	  -0.0001305	   0.0000235	  -0.0000222	   0.0001345	   0.0050000
3800.0000000	  -1.6777670	  -4.6702931	  -0.1076042	  -0.0001771	   0.0000552	  -0.0000249	   0.0001872	   0.0050000
4000.0000000	  -1.4939592	  -4.1984489	  -0.0805521	  -0.0002057	   0.0000857	  -0.0000262	   0.0002244	   0.0050000
4200.0000000	  -1.3284489	  -3.7689517	  -0.0563767	  -0.0002154	   0.0001116	  -0.0000247	   0.0002438	   0.0050000
4400.0000000	  -1.1812400	  -3.3703393	  -0.0354859	  -0.0002158	   0.0001328	  -0.0000210	   0.0002542	   0.0050000
4600.0000000	  -1.0483679	  -2.9927525	  -0.0177561	  -0.0002200	   0.0001478	  -0.0000172	   0.0002656	   0.0050000
4800.0000000	  -0.9249750	  -2.6290817	  -0.0029276	  -0.0002355	   0.0001512	  -0.0000175	   0.0002804	   0.0050000
5000.0000000	  -0.8075700	  -2.2760126	   0.0085065	  -0.0002427	   0.0001344	  -0.0000251	   0.0002785	   0.0050000
5200.0000000	  -0.6912625	  -1.9357256	   0.0146979	  -0.0001996	   0.0000868	  -0.0000248	   0.0002190	   0.0050000
5400.0000000	  -0.5633244	  -1.6196227	   0.0155259	  -0.0001034	   0.0000209	  -0.0000066	   0.0001057	   0.0050000
5600.0000000	  -0.4046558	  -1.3482586	   0.0145980	  -0.0000428	  -0.0000028	  -0.0000127	   0.0000448	   0.0050000
5800.0000000	  -0.2071905	  -1.1382866	   0.0107195	  -0.0001578	  -0.0000134	  -0.0000330	   0.0001618	   0.0050000
6000.0000000	  -0.0000847	  -1.0001239	  -0.0000401	  -0.0011275	  -0.0005090	   0.0000541	   0.0012382	   0.0050000
