     # training step	         mean reward	          std reward	     mean ep. length
              384000	            -0.13719	             0.00584	                  30
              768000	            -0.12115	             0.01629	                  30
             1152000	            -0.20393	             0.01355	                  30
             1536000	            -0.16644	             0.00706	                  30
             1920000	            -0.10611	             0.01021	                  30
             2304000	            -0.14367	             0.01329	                  30
             2688000	            -0.08756	             0.00711	                  30
             3072000	            -0.09135	             0.01439	                  30
             3456000	            -0.09925	             0.02270	                  30
             3840000	            -0.28970	             0.35738	                  30
             4224000	            -0.15087	             0.01379	                  30
             4608000	            -0.06962	             0.00845	                  30
             4992000	            -0.07216	             0.00545	                  30
             5376000	            -0.08644	             0.01311	                  30
             5760000	            -0.07855	             0.00645	                  30
             6144000	            -0.09623	             0.00980	                  30
             6528000	            -0.39476	             0.00515	                  30
             6912000	            -0.08804	             0.01255	                  30
             7296000	            -0.07907	             0.00952	                  30
             7680000	            -0.12293	             0.06764	                  30
             8064000	            -0.09986	             0.00710	                  30
             8448000	            -0.27368	             0.14791	                  30
             8832000	        -17710.30664	           998.65393	                  12
             9216000	        -13451.36719	           571.96692	                  16
             9600000	        -12630.74609	           713.96289	                  18
             9984000	        -10021.90918	           935.97662	                  21
            10368000	         -1820.89124	          1175.98376	                  29
            10752000	        -19730.22266	           457.58765	                  10
            11136000	         -8801.96777	          1293.43420	                  21
            11520000	         -6973.78418	           692.06482	                  24
            11904000	        -19022.31250	           235.24907	                  11
            12288000	        -17292.07227	           689.09247	                  12
            12672000	        -16998.50391	           475.64316	                  13
            13056000	        -14536.08398	           487.86899	                  15
            13440000	        -13409.23340	          3981.31348	                  17
            13824000	        -15738.10254	            32.96737	                  15
            14208000	         -2598.43945	          2391.42749	                  28
            14592000	        -16810.02734	           459.62869	                  13
            14976000	        -14767.29883	           481.29987	                  15
            15360000	         -9382.88086	          5007.98096	                  21
            15744000	         -8197.24414	          3381.88184	                  21
            16128000	        -13089.66895	          3915.94849	                  16
            16512000	         -9535.41602	          8420.62305	                  20
            16896000	          -147.31042	           281.70236	                  29
            17280000	         -2538.53638	           881.00604	                  28
            17664000	        -15668.95020	           521.06775	                  14
            18048000	        -14427.64746	           599.51434	                  15
            18432000	        -11806.60742	           803.28290	                  18
            18816000	        -11611.09277	          1296.59558	                  18
            19200000	        -17430.03906	          1800.77026	                  12
            19584000	        -17198.72266	          2526.64233	                  12
            19968000	        -15283.70605	          2362.15576	                  14
            20352000	        -10933.80078	           762.65552	                  19
            20736000	         -9132.49707	           765.27612	                  20
            21120000	        -18840.07031	           658.51172	                  11
            21504000	        -13691.75293	           864.37921	                  16
            21888000	        -12871.44141	           915.60797	                  17
            22272000	        -12965.46387	           775.94537	                  17
            22656000	        -12354.95215	           759.56458	                  18
            23040000	         -8571.15332	           892.34601	                  22
            23424000	         -6230.66211	           661.75525	                  24
            23808000	            -4.09623	             0.06242	                  30
            24192000	            -1.01988	             0.14157	                  30
            24576000	            -1.16097	             0.53491	                  30
            24960000	            -0.50037	             0.01600	                  30
            25344000	            -0.44830	             0.01835	                  30
            25728000	            -0.39115	             0.02470	                  30
            26112000	            -0.40714	             0.03890	                  30
            26496000	            -0.27457	             0.04039	                  30
            26880000	            -0.30253	             0.05631	                  30
            27264000	            -0.28793	             0.02033	                  30
            27648000	            -0.23842	             0.02243	                  30
            28032000	            -0.23607	             0.02218	                  30
            28416000	            -0.22253	             0.06136	                  30
            28800000	            -0.34908	             0.15315	                  30
            29184000	            -0.28651	             0.03376	                  30
            29568000	            -0.34831	             0.01525	                  30
            29952000	            -0.21232	             0.01776	                  30
            30336000	            -0.29048	             0.02840	                  30
            30720000	            -0.26419	             0.01652	                  30
            31104000	            -0.36673	             0.05718	                  30
            31488000	            -1.44713	             5.69957	                  30
            31872000	            -0.26409	             0.08913	                  30
            32256000	            -0.16264	             0.02812	                  30
            32640000	            -0.16931	             0.02175	                  30
            33024000	            -0.18343	             0.01821	                  30
            33408000	            -0.13186	             0.01629	                  30
            33792000	            -0.17476	             0.00928	                  30
            34176000	            -0.25979	             0.01484	                  30
            34560000	            -0.67391	             0.22279	                  30
            34944000	            -0.51245	             0.21483	                  30
            35328000	            -0.48283	             0.16276	                  30
            35712000	            -0.21845	             0.04147	                  30
            36096000	            -0.32586	             0.13350	                  30
            36480000	            -0.19337	             0.01545	                  30
            36864000	            -0.19865	             0.01480	                  30
            37248000	            -0.16819	             0.04887	                  30
            37632000	            -0.18372	             0.01994	                  30
            38016000	            -0.12676	             0.01134	                  30
            38400000	            -0.14696	             0.11058	                  30
            38784000	            -0.15091	             0.01653	                  30
            39168000	            -0.15139	             0.01226	                  30
            39552000	            -0.36001	             0.41238	                  30
            39936000	            -0.09589	             0.00614	                  30
            40320000	            -0.11375	             0.01256	                  30
            40704000	            -0.22983	             0.01417	                  30
            41088000	            -0.16905	             0.01269	                  30
            41472000	            -0.15088	             0.01375	                  30
            41856000	            -0.15083	             0.01088	                  30
            42240000	            -0.17167	             0.05596	                  30
            42624000	            -0.12128	             0.00751	                  30
            43008000	            -0.13579	             0.01573	                  30
            43392000	            -0.11348	             0.02586	                  30
            43776000	            -0.34157	             0.31597	                  30
            44160000	            -0.13867	             0.09630	                  30
            44544000	            -0.14970	             0.08836	                  30
            44928000	            -0.20896	             0.08833	                  30
            45312000	            -0.11917	             0.04415	                  30
            45696000	            -0.10968	             0.01704	                  30
            46080000	            -0.28757	             0.32816	                  30
            46464000	            -0.12109	             0.06132	                  30
            46848000	            -0.08939	             0.01804	                  30
            47232000	            -0.12234	             0.00576	                  30
            47616000	            -0.08992	             0.01059	                  30
            48000000	            -0.12514	             0.01005	                  30
            48384000	            -0.10057	             0.00713	                  30
            48768000	            -0.09169	             0.01557	                  30
            49152000	            -0.08517	             0.00724	                  30
            49536000	            -0.14104	             0.00973	                  30
            49920000	            -0.07700	             0.00929	                  30
            50304000	            -0.08705	             0.01099	                  30
            50688000	            -0.09572	             0.01063	                  30
            51072000	            -0.14756	             0.01287	                  30
            51456000	            -0.08646	             0.01222	                  30
            51840000	            -0.08234	             0.01117	                  30
            52224000	            -0.07363	             0.00737	                  30
            52608000	            -0.10507	             0.00617	                  30
            52992000	            -0.10018	             0.01189	                  30
            53376000	            -0.09645	             0.01023	                  30
            53760000	            -0.12813	             0.02063	                  30
            54144000	            -0.08546	             0.02069	                  30
            54528000	            -0.07733	             0.00844	                  30
            54912000	            -0.09066	             0.00851	                  30
            55296000	            -0.08297	             0.00758	                  30
            55680000	            -0.08157	             0.01142	                  30
            56064000	            -0.12776	             0.01099	                  30
            56448000	            -0.08976	             0.00782	                  30
            56832000	            -0.10093	             0.00852	                  30
